what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1353225317169
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1353225317169
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1353225317171
os,sysinfo,,,"win32",1353225317181
arch,sysinfo,,,"x86_64",1353225317181
ws,sysinfo,,,"win32",1353225317181
locale,sysinfo,,,"en_US",1353225317181
processors,sysinfo,,,"4",1353225317181
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353225317181
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1353225317181
java.specification.name,sysinfo,,,"Java Platform API Specification",1353225317181
java.specification.vendor,sysinfo,,,"Oracle Corporation",1353225317181
java.specification.version,sysinfo,,,"1.7",1353225317181
java.vendor,sysinfo,,,"Oracle Corporation",1353225317181
java.version,sysinfo,,,"1.7.0_02",1353225317181
java.vm.info,sysinfo,,,"mixed mode",1353225317181
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353225317181
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353225317181
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1353225317181
java.vm.specification.version,sysinfo,,,"1.7",1353225317181
java.vm.vendor,sysinfo,,,"Oracle Corporation",1353225317181
java.vm.version,sysinfo,,,"22.0-b10",1353225317181
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1353225319040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1353225319086
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1353225319131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353225336578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353225339905
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1353225339954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353225354889
